Age,Gender,Weight_kg,Height_m,Workout_time,Calories_Burned,Type,Fat_Percentage,Frequency,Level,BMI,member_id,goal,equipment_access,injury
31,Female,53.5,1.76,1.22,811.0,Strength,27.6,4,Intermediate,17.27,M0235,Hypertrophy,BasicGym,None
50,Female,70.4,1.55,0.73,470.0,Strength,29.9,2,Beginner,29.3,M0236,FatLoss,Home,None
23,Male,57.7,1.71,1.15,942.0,Strength,27.0,3,Intermediate,19.73,M0237,Hypertrophy,BasicGym,LowerBack
40,Male,80.3,1.76,1.63,1497.0,Strength,13.1,5,Advanced,25.92,M0238,Strength,FullGym,None
37,Female,66.9,1.75,1.38,876.0,Strength,26.5,4,Intermediate,21.84,M0239,Hypertrophy,BasicGym,LowerBack
28,Male,58.3,2.0,1.32,980.0,Strength,28.2,4,Intermediate,14.57,M0240,Hypertrophy,BasicGym,None
32,Male,89.8,1.92,1.93,1783.0,Strength,10.6,4,Advanced,24.36,M0241,Strength,FullGym,None
55,Male,118.6,1.72,0.77,640.0,Strength,25.9,3,Beginner,40.09,M0242,FatLoss,BasicGym,None
57,Male,55.7,1.99,1.13,705.0,Strength,23.6,3,Intermediate,14.07,M0243,Endurance,BasicGym,None
28,Female,67.3,1.67,0.61,479.0,Strength,29.2,3,Beginner,24.13,M0244,Hypertrophy,Home,None
58,Female,59.3,1.58,1.97,1463.0,Strength,19.8,4,Advanced,23.75,M0245,Strength,FullGym,None
52,Male,63.6,1.62,1.3,965.0,Strength,20.8,4,Intermediate,24.23,M0246,Endurance,BasicGym,None
22,Male,107.4,1.74,1.34,1017.0,Strength,22.0,2,Beginner,35.47,M0247,FatLoss,BasicGym,None
31,Female,53.3,1.64,0.57,402.0,Strength,29.4,3,Beginner,19.82,M0248,Hypertrophy,Home,Shoulder
43,Male,46.2,1.63,1.18,812.0,Strength,21.7,2,Beginner,17.39,M0249,Hypertrophy,Home,None
35,Male,127.1,1.62,1.02,718.0,Strength,23.3,4,Intermediate,48.43,M0250,FatLoss,BasicGym,None
55,Male,69.9,1.81,1.2,992.0,Strength,20.2,4,Intermediate,21.34,M0251,Endurance,BasicGym,None
40,Male,87.9,1.87,1.96,1445.0,Strength,10.7,5,Advanced,25.14,M0252,Strength,FullGym,None
32,Male,102.8,1.98,1.24,818.0,Strength,27.8,3,Intermediate,26.22,M0253,Hypertrophy,BasicGym,None
50,Male,95.4,1.61,1.16,764.0,Strength,21.5,4,Intermediate,36.8,M0254,FatLoss,BasicGym,None
24,Male,87.1,1.74,1.57,1364.0,Strength,10.0,4,Advanced,28.77,M0255,FatLoss,FullGym,None
25,Male,66.6,1.61,1.38,1260.0,Strength,25.0,2,Beginner,25.69,M0256,Hypertrophy,Home,None
46,Male,88.7,1.63,0.75,542.0,Strength,28.8,2,Beginner,33.38,M0257,FatLoss,Home,None
